Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
The impacts of climate protests on opinion and policy: the case of the Netherlands 2019;Paul van Dijk;2021;Earth Systems Governance;James Patterson;Rakhyun E. Kim;Significant parts of society have had enough of the ongoing and increasing ecological crisis, known as climate change, caused by our current ways of living. Society is responding to the climate crisis through collective action and formatting climate movements. These movements are crucial in achieving social and political transformations. They have the power to influence political and media agendas. Protests, one of the major tools climate movements use to cause change, have the potency to increase awareness and urgency of the problem by motivating public and political action. This research conducted an in-depth case study on if and how the series of climate protests between February and December 2019 affected public opinion and climate policies in the Netherlands. The first findings showed no link between changes in national climate policies linked and the 2019 climate protests. Overall, this research implies that the 2019 climate protests had little to no impact on national climate policy and opinion.;To what extent has the series of national climate change protests in 2019 affected climate policies in the Netherlands, and how can this be explained?;13 - Climate Action;The research focuses on climate protests and their impact on climate policies and public opinion, directly addressing the urgency of climate action.;Netherlands;National;Governance & Policy;Climate movement, Climate protests, Public opinion, Civil disobedience;Mixed Methods Research;case-study, media analysis;Theory of representative democracy, Social Movement Theory, Political Opportunity Theory;;;Netherlands;52.2434979;5.6343227;Country;
Humans or bears: why not both? The creation of an analytical framework to assess the transferability of non-lethal measures to mitigate the human-bear conflict and its application to the Trentino-Alto Adige (Italy) case;Lucia Neri;2021;Earth Systems Governance;Prof. Dr. Hens Runhaar;Dr. James Patterson;This thesis addresses the human-bear conflict (HBC) in Trentino-Alto Adige, Italy, by creating an analytical framework to assess the transferability of non-lethal measures to mitigate this conflict. The research aims to identify necessary success conditions for transferring successful measures from other contexts to Trentino. A literature review and structured interviews with local experts were conducted to gather data. The findings indicate that while some measures are transferrable, contextual factors significantly influence their effectiveness. The study contributes to the understanding of HBC management and offers recommendations for improving coexistence between humans and bears.;What are the necessary success conditions for the transferability of non-lethal measures to mitigate the human-bear conflict and to what extent are they met in the Trentino case?;15 - Life on Land;This research contributes to the sustainable management of terrestrial ecosystems and the conservation of biodiversity by addressing the human-bear conflict and exploring measures to enhance coexistence.;Trentino-Alto Adige, Italy;Local;Ecology & Biodiversity;Human-Wildlife Conflict, Human-Bear Conflict, Transferability, Non-lethal Measures, Trentino-Alto Adige;Literature-Based Research, Qualitative Empirical Research;Literature review, Structured interviews;;;;Trentino-Alto Adige;46.441472;11.282121;Region;Abstract too short
Combining Predictive and Heuristic Control Strategies for Optimal Deployment of Distributed Energy Storage Systems;Robert Peeters;2021;Energy & Materials;Madeleine Gibescu;Ibtihal Abdelmotteleb;This thesis addresses the integration of variable renewable energy sources in the energy system, focusing on the need for grid flexibility. The objective is to propose a demand side management program that utilizes distributed battery energy storage systems within a portfolio of solar energy producers. The methodology involves a two-step approach using model predictive control and heuristic control to optimize battery charging schedules based on real-time forecasts. Findings indicate that while the proposed framework is feasible, challenges remain in minimizing imbalances between actual and forecasted energy supply.;How can a two-step demand side management program optimize the deployment of distributed energy storage systems in response to variable renewable energy sources?;7 - Affordable and Clean Energy;This research contributes to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all by enhancing the flexibility of the energy system through innovative management of energy storage.;Netherlands;Local;Energy & Climate;Demand Side Management, Distributed Energy Storage, Model Predictive Control, Heuristic Control, Renewable Energy;Mixed Methods Research;Model Predictive Control, Heuristic Control, Kalman Filter, Hierarchical Clustering;;CT Energy;;;;;Broad;Abstract too short
Follow the Water Diving into the Politics of Water Losses in Nairobi, Kenya;Loes Nijkamp;2021;International Development;Dr. Murtah Shannon;Dr. Kei Otsuki;This thesis explores the politics surrounding water losses in Nairobi, Kenya, focusing on access to water in informal settlements. The aim is to analyze the governmental water distribution system and its impact on water access. A qualitative empirical research methodology was employed, utilizing interviews with various stakeholders. The findings reveal the complexities of water governance and the intertwining of formal and informal water supply systems, highlighting the challenges faced by residents in accessing reliable water sources.;How do the politics of water governance affect access to water in informal settlements in Nairobi?;6 - Clean Water and Sanitation;This SDG is relevant as the research addresses issues of water access and governance in informal settlements, which directly impacts the availability of clean water.;Nairobi, Kenya;Local;Governance & Policy;water governance, informal settlements, Nairobi, water access, water losses;Qualitative Empirical Research;Interviews;;World Waternet;;Nairobi;-1.3026148;36.828842;City;Abstract too short
Power, Politics & Resources: A case study of the Marae Moana;Joseph Argus;2021;International Development;Femke van Noorloos;Janwillem Liebrand;Small pacific islands are dependent on the ocean as a means of sustenance and livelihood, yet they are also at the vanguard of climate change. This research explores the social dynamics of the Marae Moana, the world's largest multi-purpose marine park, and how access to resources and power positions have changed since its implementation. Through analysing policy, news articles, and stakeholder interviews, the research finds that small scale operators benefit from the legislation while commercial operators face restrictions. The study concludes that the Marae Moana is positive legislation for maritime conservation, though concerns regarding compliance and transparency remain.;How has the implementation of the Marae Moana marine reserve changed access to resources and power positions amongst stakeholders in the Cook Islands?;14 - Life Below Water;The research focuses on the conservation of marine resources and the management of marine protected areas, which directly relates to the sustainable use of oceans, seas, and marine resources.;Cook Islands;Local;Ecology & Biodiversity;Marae Moana, marine conservation, Cook Islands, stakeholder dynamics, political ecology;Qualitative Empirical Research;Semi-structured interviews, Policy analysis;Political Ecology;;;Cook Islands;-19.9969716;-157.7858714;Country;Abstract too short
Promoting Sustainable Tourism in the Alps: A Systematic Assessment of Major Certification Schemes for Sustainable Tourism Destinations;Clara Gulde;2021;Earth Systems Governance;Walter Vermeulen;Agni Kalfagianni;Tourism destinations increasingly turn to sustainability certification to balance safeguarding their natural and cultural resources with developing a long-term tourism strategy. This research aims to systematically assess the effectiveness of major certification schemes for sustainable tourism in the Alps. A comprehensive assessment framework was developed, and three certification schemes were evaluated. Findings indicate that none of the schemes meet the international benchmark for potential effectiveness, particularly lacking in impact categories. This research contributes to understanding the effectiveness of certification schemes and provides recommendations for practitioners.;How effective are major certification schemes for sustainable tourism destinations in the Alps?;12 - Responsible Consumption and Production;The research focuses on sustainable tourism practices and certification schemes, which directly relate to responsible consumption and production in tourism.;Alps;Regional;Circular Economy & Production;sustainability, governance, destination certification, effectiveness, mountain tourism;Literature-Based Research, Qualitative Empirical Research;Case study, Thematic analysis;;;Green Destinations, TourCert, Mountaineering Villages;Alps;45.9083263;9.1420628;Broad;Abstract too short
TOWARDS JUST URBAN GREENING DEVELOPING A DIAGNOSTIC FRAMEWORK FOR COLLABORATIVE URBAN PLANNING AS A MEANS FOR JUST URBAN GREENING INITIATIVES IN AMSTERDAM – A CASE STUDY APPROACH;Marijn Kallenberg;2021;Earth Systems Governance;Dr. James Patterson;Prof. Dr. Harriet Bulkeley;Urban greening is a climate adaptation strategy that tackles multiple social and environmental challenges in urban areas, two important ones being heat reduction and increased social wellbeing. Because of the positive social and environmental effects, it is important that urban greening takes a just and inclusive approach, with equal decision-making processes and recognition of existing inequalities, so that everyone can reap the benefits. Collaborative urban planning (CUP) is a governance strategy that takes an inclusive approach in urban planning practices and thus has the potential of providing a just output on urban greening. This research tries to further develop theory on environmental justice and urban greening, by critically scrutinizing collaborative urban greening initiatives through an environmental justice lens, which provides insights in how recognition, procedures and distribution play out. This has been done by taking an explorative multi case study approach.;;;;Amsterdam;Local;Urban & Regional Development;urban greening, environmental justice, collaborative urban planning, diagnostic framework;Literature-Based Research, Qualitative Empirical Research;Semi-structured interviews, Document analysis, Observation;Environmental justice;De Gezonde Stad;;Amsterdam;52.3730796;4.8924534;City;Missing Research Question, Missing SDG
"Product Service Systems for Boilers; Towards a Circular Economy";Jisca van Bommel;2021;;Dr. ir. Jesus Rosales Carreon;Dr. ir. Wina Crijns-Graus;Every year around 375.000 boilers are being discarded and end up as waste in the Netherlands. This is not in line with a circular economy. Product Service System Business Models (PSS BM) have great potential to increase the circularity performance in a business, which can reduce the impact on the environment. The heating sector in the Netherlands has potential to become more circular through servitization. This thesis aims to answer the following research question: 'Which PSS BM for boilers could be implemented to enhance the transition towards a circular economy?' This thesis uses a case study approach, semi-structured interviews and a Multi-Criteria Analysis (MCA) to answer the main research question. The analysis shows that the functional result BM can be implemented to enhance the circular economy for boilers.;Which PSS BM for boilers could be implemented to enhance the transition towards a circular economy?;12 - Responsible Consumption and Production;The thesis addresses the need to reduce waste and enhance circularity in the heating sector, aligning with the goal of responsible consumption and production.;Netherlands;National;Circular Economy & Production;;Mixed Methods Research, Qualitative Empirical Research;Case study, Semi-structured interviews, Multi-Criteria Analysis;;TNO;Energiewacht;;;;Broad;
The future impact of the global aviation sector on climate change mitigation unravelled;Valentijn Frinking;2021;Energy & Materials;Detlef van Vuuren;Oreane Edelenbosch;This study aims to understand how the aviation sector can contribute to achieving the climate goals outlined in the Paris Agreement. It identifies key drivers of air travel demand, such as GDP and population growth, and reviews emissions mitigation pathways from literature. The research updates the representation of the aviation sector in the IMAGE model and develops four mitigation scenarios compared to a baseline scenario. Results indicate that while alternative propulsion technologies have limited effects, a modal shift to high-speed trains and increased bio-fuel usage can significantly reduce emissions. However, achieving net zero emissions by the century's end appears unlikely without further technological advancements and policies.;How can the aviation sector contribute to reaching the climate goals as stated in the Paris Agreement?;13 - Climate Action;The study focuses on the aviation sector's role in mitigating climate change, aligning with the goals of the Paris Agreement to limit global warming.;Global;Global/International;Energy & Climate;;Modelling & Systems Approaches;Scenario analysis;IMAGE, Shared Socioeconomic Pathways, TIMER, TRAVEL;PBL Netherlands Environmental Assessment Agency;;;;;Broad;
On the formation of regular vegetation patterns;Paul M.J. Berghuis;2021;Ecosystems and Environmental Change;Dr. Angeles Garcia Mayor;Dr. Jerry van Dijk;This thesis investigates the formation of regular vegetation patterns through an experimental approach. The aim is to recreate these patterns in a controlled lab setup, addressing the challenges posed by the pandemic. The methodology involves designing an experimental setup and conducting various drought treatments on P. vaginatum. The findings indicate successful pattern formation, contributing to the understanding of vegetation dynamics.;How can regular vegetation patterns be formed in a controlled experimental setup?;15 - Life on Land;This research contributes to the understanding of vegetation dynamics, which is essential for maintaining healthy ecosystems and biodiversity.;Utrecht, Netherlands;Local;Ecology & Biodiversity;vegetation patterns, experimental approach, drought treatment, P. vaginatum;Mixed Methods Research;Experimental setup, data analysis;;;;Utrecht;52.0907006;5.1215634;City;Abstract too short
