Title,Author(s),Year,Master Track,Supervisor,Second reader,Abstract/Summary,Main Research Question,SDG,Justification for SDG,Geographical scope,Scale,Main sector,Keywords,Methodology Type,Specific Methods,Theories,Internship Organization,Organizations Studied,Geographical location standardized,Latitude,Longitude,Location precision,Flag
In the Shadow of the Amazon Rainforest: The EU’s Oversight of Problem Shifting to the Cerrado,Laura Bengel,2024,n/a,Dr. Rakhyun Kim,Dr. Diana Vela Almeida,"This thesis explores the exclusion of the Cerrado savannah from the European Union Deforestation-free Regulation (EUDR). The EUDR aims to reduce global deforestation by ensuring EU-consumed products are not linked to deforestation. However, its deforestation-free requirement is geographically limited to forests, excluding critical ecosystems like the Cerrado. This exclusion also fails to address the Amazon-Cerrado problem-shift, where deforestation is increasingly displaced from the Amazon to the Cerrado. Analysing this issue through the lens of problem-shifting, the thesis identifies factors inhibiting the addressing of problem-shifts, such as prioritization bias, environmental complexity, and fragmented problem-solving approaches. Through qualitative research, including document analysis, 14 interviews, and participant observation, the study identifies three key elements driving this exclusion.",n/a,n/a,n/a,n/a,n/a,n/a,"European Union Deforestation-free Regulation, Cerrado, other wooded land, problem-shifting, deforestation, forest bias",Qualitative Empirical Research,"Semi-structured Interviews, Document Analysis, Participant Observation",n/a,n/a,n/a,n/a,,,Broad,"Missing Research Question, Missing SDG"
Sowing the Seeds of Equal Citizen Participation: A case study analysis on engaging vulnerable citizens in urban green policy-making in The Netherlands,Marloes Belgers,2024,n/a,Peter Driessen,Heleen Mees,"Adaptation to climate change in The Netherlands requires place-based solutions. The limited mandate and capacity of local governments to adequately deal with increasing climate risks and impacts means stronger collaborative approaches, such as citizen participation, are needed. To prevent inequalities, it is necessary that municipalities actively try to involve vulnerable citizens. Therefore, adequate goals for citizen participation must be formulated by the municipality. This research aims to answer the question: To what extent do the objectives set by municipalities for citizen participation lead to the engagement of vulnerable citizens in urban green policies? The results show that setting normative objectives corresponds to more effort put in by a municipality to engage vulnerable citizens in urban green policies.",To what extent do the objectives set by municipalities for citizen participation lead to the engagement of vulnerable citizens in urban green policies?,n/a,n/a,The Netherlands,National,Urban & Regional Development,"Citizen participation, climate adaptation, vulnerable citizens, urban green spaces",Qualitative Empirical Research,n/a,n/a,n/a,n/a,Netherlands,52.2434979,5.6343227,Country,Missing SDG
Analyzing the Vulnerabilities of Farmers in the Mekong Delta from a Political Ecology Perspective,n/a,n/a,n/a,n/a,n/a,"This thesis aims to analyze the vulnerabilities of farmers in the Mekong Delta from a political ecology perspective due to Vietnam's government-led agricultural transition. The research focuses on the structural vulnerabilities faced by farmers due to agricultural transition and top-down climate change adaptation policies. Data were gathered through semi-structured interviews with 35 farmers and seven experts. The analysis reveals that farmers face environmental, social, political, and economic vulnerabilities, exacerbated by government policies that prioritize economic benefits over traditional practices. The findings highlight the need for improved climate adaptation policies to support marginalized populations.",n/a,n/a,n/a,"Mekong Delta, Vietnam",Local,Agriculture,n/a,Qualitative Empirical Research,Semi-structured interviews,n/a,Kien Giang University,n/a,Kien Giang,9.7667502,104.4726437,City,"Missing Research Question, Missing SDG, Missing Supervisor, Abstract too short"
The Longitudinal Trajectory of Sustainable Development Goals Implementation within the European Union and the Association of Southeast Asian Nations,Michele Joie Prawiromaruto,2024,n/a,Frank Biermann,James Patterson,"This study investigates the longitudinal trajectory of Sustainable Development Goals (SDGs) implementation within the European Union (EU) and the Association of Southeast Asian Nations (ASEAN), exploring the potential for policy convergence or divergence over time. Through a mixed-method approach that analyzes Voluntary National Reviews (VNRs) and includes interviews with key representatives, the research employs a multiple case study design to identify patterns in SDG implementation across five EU countries and five ASEAN countries. The findings reveal that the EU’s implementation of SDGs is characterized by greater divergence, whereas ASEAN exhibits higher convergence, particularly in environmental SDGs. The study underscores the necessity of financing mechanisms directed towards achieving the SDGs and highlights the potential for mutual learning among regions.","What are the patterns of Sustainable Development Goals implementation in the European Union and the Association of Southeast Asian Nations, and how do they converge or diverge over time?",17 - Partnerships for the Goals,"The research emphasizes the importance of mutual learning and collaboration between regions, which aligns with the goal of strengthening partnerships for sustainable development.","European Union, Southeast Asia",Global/International,Governance & Policy,"Sustainable Development Goals, European Union, ASEAN, policy convergence, environmental policies",Mixed Methods Research,"Multiple case study, Voluntary National Reviews analysis, interviews","Institutional Isomorphism, Path Dependency",n/a,n/a,n/a,,,Broad,
Quantifying the environmental benefits of animal-source food replacement,G.J. van de Merbel,2023,n/a,D.P. van Vuuren,M.G. Matias de Pinho,"The environmental impact of diets high in animal-source foods has led to growing interest in potentially more sustainable alternative protein sources, such as plant-based meat analogues, cultivated meat, insect protein, and plant-based dairy. This study uses the IMAGE Integrated Assessment Model to evaluate global land use, water consumption, greenhouse gas emissions, and global warming for scenarios in which animal-source foods are replaced by different alternatives. The results indicate significant reductions in land use, water consumption, and emissions, highlighting the need for context-specific choices to promote sustainable dietary transitions.",n/a,12 - Responsible Consumption and Production,"This research addresses the environmental impacts of dietary choices and promotes the transition to sustainable food systems, aligning with the goal of responsible consumption and production.",Global,Global/International,Circular Economy & Production,n/a,Mixed Methods Research,"Scenario analysis, Modeling",n/a,PBL Netherlands Environmental Assessment Agency,n/a,n/a,,,Broad,"Missing Research Question, Abstract too short"
Analysing productive interactions to explain societal impacts in transdisciplinary research,Loreto Alegría López Gamboa,2024,Earth Systems Governance,Peter Driessen,Dr Dries Hegger,"This research addresses the complex sustainability challenges exacerbated by climate change, emphasizing the need for integrative research approaches. It aims to understand how productive interactions contribute to societal impacts in transdisciplinary research, specifically through the analysis of two European Nexus projects: SIM4NEXUS and NextGen. A framework based on productive interactions and theory of change concepts was employed to assess outputs, outcomes, and societal impacts. The findings reveal that productive interactions, facilitated by contextual conditions, enhance the likelihood of achieving societal impacts in Nexus projects. Recommendations for improving research design and societal impact delivery are provided.",How do productive interactions contribute to achieving societal impacts in transdisciplinary research?,17 - Partnerships for the Goals,The research highlights the importance of collaboration among various stakeholders in transdisciplinary projects to effectively address sustainability challenges.,Europe,Regional,Governance & Policy,"Productive interactions, outputs, outcomes, societal impacts, transdisciplinary research, Nexus projects.",Qualitative Empirical Research,Interviews,n/a,KWR Water Research Institute,"SIM4NEXUS, NextGen",n/a,,,Broad,Abstract too short
Understanding the Role of Information Exchange in the Transition to Nature-Inclusive Agriculture among Dutch Farmers,n/a,n/a,n/a,n/a,n/a,"This study gains insight into the exchange of information among Dutch farmers and other sources affecting their transition to sustainable agricultural practices, specifically nature-inclusive agriculture (NIA). The research objective is to explore how the lack of NIA adoption is influenced by farmers' interactions with information sources. A social network analysis is developed, utilizing transition theory and social identity theory, based on interviews with seventeen farmers in the south-west of the Netherlands. Findings highlight the importance of farmers' identification with information sources and the significance of bidirectional information exchange in decision-making processes. Insights contribute to understanding how information dissemination can be enhanced within public-private partnerships.",How does the exchange of information among Dutch farmers and their networks affect the adoption of nature-inclusive agriculture?,12 - Responsible Consumption and Production,"The study addresses sustainable agricultural practices and the transition to nature-inclusive agriculture, which aligns with responsible consumption and production goals.",Netherlands,Local,Circular Economy & Production,"Nature-inclusive agriculture, Transformational adaption, Zones of friction and traction, Social identity approach, Farmers’ identity",Qualitative Empirical Research,"Social network analysis, Case study, Interviews","Transition theory, Social identity theory",n/a,n/a,n/a,,,Broad,Missing Supervisor
Beyond Boundaries: Women and the Sundarbans Mangrove Forest. A study of the non-migration livelihood pathways of women in Coastal Bangladesh,Marta Martínez Fabiani,2024,International Development,Dr. Bishawjit Mallick,Dr. Mucahid Bayrak,"Bangladesh is considered one of the most climate-stressed areas globally, sensitive to slow and rapid-onset hazards. Coastal inhabitants face various socioeconomic challenges alongside physical exposure to cyclones and salinity. This study investigates the circumstances of women's immobility within mangrove-dependent communities in southwest Bangladesh, focusing on their relationship with the Sundarbans social-ecological system and its influence on their non-migration livelihood pathways. A mixed-methods approach was applied, revealing that 80% of sampled women consider staying put, highlighting the importance of social subsystem interventions in shaping non-migration aspirations.",What are the circumstances of women's immobility within mangrove-dependent communities in southwest Bangladesh and how does their relationship with the Sundarbans social-ecological system influence their non-migration livelihood pathways?,13 - Climate Action,"The study addresses the impacts of climate change on women's livelihoods in a climate-stressed area, emphasizing the need for climate action to support vulnerable communities.",Coastal Bangladesh,Local,Social Justice & Equity,"women, Sundarbans, non-migration, livelihoods, agency",Mixed Methods Research,"Case study, Thematic analysis, Semi-structured interviews","Social-ecological Systems, Feminist Political Ecology",n/a,n/a,n/a,,,Broad,Abstract too short
"Work as a pathway to belonging? Exploring the nexus of regional tourism policies and refugee social emplacement in Veneto, Italy",MariaVictoria Garcia,2024,International Development,Romain Dittgen,n/a,"This thesis explores the nexus between work, belonging, and social emplacement of refugees within the context of regional tourism policies in Veneto, Italy. It studies how employment opportunities can facilitate the social emplacement of refugees, enabling them to navigate their new environments and develop a sense of belonging. Through a qualitative research approach, data collection methods include desk research and in-depth interviews with twenty-one respondents, including refugees and experts, to uncover nuanced experiences of integration. The findings highlight that work serves as a means of economic survival and a component of social identity and belonging to a community.",n/a,8 - Decent Work and Economic Growth,"The research emphasizes the importance of work in facilitating the social emplacement of refugees, which aligns with promoting decent work opportunities.","Veneto, Italy",Local,Social Justice & Equity,"Social emplacement, refugees, Veneto, working tourism policies, tourism industry, belonging, institutional actors, urban sociabilities.",Qualitative Empirical Research,"In-depth interviews, desk research","Social emplacement, Actor-Network Theory, Granovetter’s theory",n/a,n/a,Veneto,45.6476663,11.8665254,Region,"Missing Research Question, Abstract too short"
"Inner-Outer Dynamics in Ecovillages: Exploring Transformative Qualities in Los Portales, Spain",n/a,n/a,n/a,n/a,n/a,"Current policy and practice have inadequately addressed the fundamental roots of unsustainability, with prevailing incremental approaches failing to generate the necessary scale, speed, and depth of action. This study seeks to fill this critical gap by investigating the inner-outer dynamics within the ecovillage of Los Portales in Spain. Employing a mixed-methods approach that includes in-depth interviews with ecovillage members, participant observation, and document review, the research explores how members individually embody transformative qualities and how these are nurtured within the collective environment of the ecovillage. The results reveal intriguing connections between the individual and collective levels, highlighting the pivotal role of inner work in fostering collective growth.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixed Methods Research,"Participant Observation, Semi-structured Interviews, Document Review",n/a,n/a,n/a,n/a,,,n/a,"Missing Research Question, Missing SDG, Missing Supervisor"
